title,website,category,size,city,neighborhood,latitude,longitude,twit,inst,linkATitle,linkAURL,linkBTitle,linkBURL,pullquote,episodePromo,episodePerson,episodeURL,color,published,,naming,typography,ecommerce,engineering,3D,development,branding,photography,printer,print,sound,environmental,strategy,motion,advertising,vfx,research,experiential,recruiter,video,packaging,voice,marketing,school,press,gaming,community,inhouse,interactive,interior,exhibition,eCommerce,public relations,events,architecture,industrial,presentation,experience,product,illustration,ux/ui
Alphagraphics,https://www.alphagraphicsseattle.com/,A,Medium (11-40),Seattle,Belltown,-122.35675392886071,47.62667238095744,alphagseattle,alphagraphicsseattle,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,https://amazon.design/,A,Huge (100+),Seattle,South Lake Union,-122.33940305922536,47.62308221561045,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Design,https://www.awesomeamber.com/,A,Small (1-10),Marysville,,-116.6424628520817,43.582240694776566,amberdesign_,awesomeamberdesign,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnthroTech,https://anthro-tech.com/,A,Medium (11-40),Olympia,Downtown,-122.33423464658188,47.610299596401916,anthrotechux,anthrotechux,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anvil,https://anvil-studios.com,A,Small (1-10),Seattle,Pioneer Square,-122.31767084463806,47.61440349215518,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquent,https://aquent.com/,A,Large (41-100),Seattle,Fremont,-122.34349285738608,47.6509659310144,aquent,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armory Pacific,https://www.armorypacific.com/,A,Small (1-10),Seattle,SODO,-122.33466720123063,47.58493888007228,armorypacific,armorypacific,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artefact,https://www.artefactgroup.com,A,Medium (11-40),Seattle,Pioneer Square,-122.33592025543011,47.60249807908566,artefactgroup,,,,,,"\We are inside the machinations of making products and services and systems for people and how do we use our powers to build this more equitable, sustainable world that we want?\",,,,cardEpisode5,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artitudes Design,https://artitudes.com/,A,Medium (11-40),Issaquah,,-122.02983364142511,47.53435953914904,artitudesdesign,artitudes,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECU,https://www.becu.org/,B,Large (41-100),Tukwila,,-122.04987078271309,47.5470001396724,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Group,https://www.beargroup.com/,B,Medium (11-40),Seattle,Westlake,-122.35677555069434,47.63261346102574,bearideas,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belief Agency,https://beliefagency.com/,B,Medium (11-40),Seattle,Fremont,-122.37084110239874,47.66331008234061,beliefagency,beliefagency,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belle & Wissell, Co.",http://www.bwco.info/,B,Small (1-10),Seattle,Georgetown,-122.33342296299608,47.5995124397986,belleandwissell,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Antelope,https://www.blackantelope.com/,B,Small (1-10),Seattle,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blamo,http://www.blamo.agency/,B,Small (1-10),Seattle,Capitol Hill,-122.31947898174538,47.61284424505415,,blamo_corps,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind Tiger,https://blindtigerdesign.com/,B,Small (1-10),Seattle,Ballard,-122.38330325935408,47.66963602722012,blindtigerdsgn,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blink UX,https://blinkux.com/,B,Large (41-100),Seattle,Downtown,-122.33784463638571,47.60467791720985,blinkux,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloom,https://bloom.wine/,B,Small (1-10),Seattle,Queen Anne,-122.35844420216213,47.61986244929172,BloomDotWine,bloomdotwine,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Label Labs,https://www.bluelabellabs.com/,B,Large (41-100),Redmond,,-122.12204730406837,47.67684380362911,bluelabellabs,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrandQuery,https://brandquery.com/,B,Small (1-10),Mount Vernon,,-122.33939676319653,48.4139952144869,brandquery,brandquery,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandner Communications,https://www.brandner.com/,B,Medium (11-40),Federal Way,,-122.29039434395186,47.31425787560011,,teambrandner,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C+C,https://cplusc.com/,C,Large (41-100),Seattle,Pioneer Square,-122.33788984717818,47.60465000303519,colehourcohen,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMD Agency,https://www.cmdagency.com/,C,Large (41-100),Seattle,SODO,-122.33493707973393,47.592156711482794,cmdcreates,cmdcreates,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN,https://crownsocial.com/,C,Medium (11-40),Seattle,South Lake Union,-122.33558644429986,47.60290339504598,crownsocial,crownsocial,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURATOR Pictures,https://curatorpictures.com/,C,Small (1-10),Seattle,Fremont,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catch Design Studio,https://www.catchstudio.com/,C,Small (1-10),Seattle,Capitol Hill,-122.3610237761914,47.52235745597132,,catch_design_studio,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalkbox Creative,https://chalkboxstudio.com/,C,Small (1-10),Seattle,,,,,chalkboxcreative,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChefSteps,https://www.chefsteps.com/,C,Medium (11-40),Seattle,Pike Place Market,-122.34106780672438,47.60865973244664,chefsteps,chefsteps,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civilization,https://builtbycivilization.com/,C,Small (1-10),Seattle,Pioneer Square,-122.333756,47.5980645,bycivilization,builtbycivilization,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clyde Golden,https://clydegolden.com/,C,Small (1-10),Seattle,Ballard,-122.34001356931043,47.638455200139596,,clydegolden,,,,,"\If you fail as an entrepreneur, you have to go get a job, and it's not that scary because you already don't have a job.\",,,,cardEpisode6,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeTactic,https://www.codetactic.com/,C,Small (1-10),Seattle,Ballard,-122.37813197313346,47.669911500356505,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cognition Studio,https://cognitionstudio.com/,C,Small (1-10),Seattle,Ballard,-122.37151117128019,47.665403389821655,cognitionstudio,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Creative,https://colorcreative.com/,C,Large (41-100),Bellevue,,-122.1565791712833,47.586604960618246,,plan.create.destroy,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column,http://columnseattle.com/,C,Small (1-10),Seattle,Pioneer Square,-122.33043325779133,47.59956820473089,columnseattle,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copacino + Fujikado,https://www.copacino.com/,C,Medium (11-40),Seattle,Downtown,-122.3368583308082,47.61010190724512,,copacinofujikado,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craters of the Moon,https://www.cotm-marketing.com/,C,Small (1-10),Cle Elum,,-122.33453059826617,47.58477491107682,cotmmarketing,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Media Alliance,http://creativemediaalliance.com/,C,Medium (11-40),Seattle,Pioneer Square,-122.33558644429986,47.60290339504598,cmaseattle,cmaseattle,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruxx Media,https://www.cruxxmedia.com/,C,Medium (11-40),Seattle,Eastlake,-122.33558644429986,47.60290339504598,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNA,http://dnaseattle.com/,D,Medium (11-40),Seattle,Downtown,-122.33426762698282,47.60903806431219,dnaseattle,dnaseattle,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dapper,http://dapperad.com/,D,Small (1-10),Seattle,Belltown,-122.34581057128224,47.61181333490641,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deloitte Digital,https://www.deloittedigital.com/,D,Large (41-100),Seattle,Downtown,-122.33480823749403,47.60445094735242,DeloitteDigi_US,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Citizen,https://www.designcitizen.com/,D,Small (1-10),Seattle,Capitol Hill,,,,design.citizen,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designheavy,http://designheavy.com/,D,Small (1-10),Seattle,Crown Hill,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designit,https://www.designit.com/,D,Medium (11-40),Seattle,Downtown,-122.33540955581903,47.60790420180233,,designit,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Kitchen,https://www.thisisdk.com/,D,Medium (11-40),Seattle,Downtown,-122.33231004615317,47.60429809445157,digitalkitchen,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Knot Creative,https://doubleknotcreative.com/,D,Small (1-10),Seattle,South Lake Union,-122.32863594429874,47.6296250086462,doubleknottweet,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Cooper,https://drakecooper.com/,D,Medium (11-40),Seattle,South Lake Union,-122.33003796931044,47.62356280582363,DrakeCooper,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dulce Design co,http://www.dulcedesign.com/,D,Small (1-10),Seattle,First Hill,-122.37045555964579,47.572902220393374,,dulcedesigncompany,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dupla Studios,http://duplastudios.com/,D,Small (1-10),Seattle,Queen Anne,-122.34707781916704,47.69051889428885,duplastudios,duplastudios,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efelle Creative,https://www.seattlewebdesign.com/,E,Medium (11-40),Seattle,Downtown,-122.33184440197213,47.60592245259766,seattlewebsites,efellecreative,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egg,http://www.eggbranding.com/,E,Small (1-10),Vashon Island,,-122.46982440608141,47.48168324098728,eggseattle,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Pen,https://electricpen.com/,E,Small (1-10),Seattle,Fremont,-122.33957071546237,47.6346596028054,,electric.pen,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emblem,http://studioemblem.com/,E,Small (1-10),Seattle,,-122.3343909596447,47.602023600267785,,studioemblem,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extreme Arts & Sciences,https://www.easci.com/,E,Small (1-10),Seattle,Capitol Hill,,,easci,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUSE IQ,https://www.fuseiq.com/,F,Medium (11-40),Seattle,Pioneer Square,,,fuseiq,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FXville,https://www.fxville.com/,F,Small (1-10),Seattle,Queen Anne,-122.3594721558239,47.621234657316265,FXVille,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearless360,http://fearless360.com/,F,Small (1-10),Seattle,,-122.31738387223345,47.61520600728089,fearless360team,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fell Swoop,https://www.fellswoop.com/,F,Small (1-10),Seattle,Pike Place Market,-122.34201504634689,47.611062443946416,Fell_Swoop,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film Connection Film Institute,https://www.filmconnection.com/,F,Medium (11-40),Seattle,Pioneer Square,-122.33462689488078,47.60385738001483,,filmconnectionfilminstitute,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,https://filterdigital.com/,F,Medium (11-40),Seattle,Downtown,-122.33593549815345,47.611115323874735,FilterDigital,filterdigital,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitch,https://fitch.com/home,F,Small (1-10),Seattle,Downtown,-122.33547660217097,47.60786478040338,,fitch_design,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower Press,https://www.theflowerpress.net/,F,Small (1-10),Seattle,Queen Anne,-122.3566298733345,47.63898187757741,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flying Eye,http://www.flyingeyedesign.com/,F,Small (1-10),Seattle,Fremont,-122.3653004733339,47.658027976079254,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form,http://www.formmade.com/,F,Small (1-10),Seattle,U District,-122.31775085984121,47.613896593443236,formmade,formmade,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formidable,https://formidable.com/,F,Medium (11-40),Seattle,Fremont,-122.33714231349431,47.614224613123895,FormidableLabs,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forum One,https://www.forumone.com/,F,Large (41-100),Seattle,Belltown,-122.34242755984114,47.61435622681748,forumone,forum_one,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundry Interactive,https://www.foundryinteractive.com/,F,Small (1-10),Seattle,Pioneer Square,-122.33741939815346,47.60475161049437,foundryinc,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framework,http://weareframework.com/,F,Small (1-10),Seattle,Capitol Hill,-122.3158675579947,47.614056869684994,,we.are.framework,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Consulting,https://www.freshconsulting.com/,F,Large (41-100),Bellevue,,-122.14335187487924,47.578003501120726,FreshConsulting,freshconsulting,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujisan Marketing,https://www.fujisanmarketing.com/?seattle-creative-directory,F,Small (1-10),Seattle,Fremont,-122.34936725582389,47.65039513295494,FujisanMarket,fujisanmarketing,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuzzco,https://fuzzco.com/,F,Small (1-10),Seattle,Pioneer Square,-122.33043325799518,47.59945968652829,,fuzzco,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA Creative,https://www.gacreative.com/,G,Medium (11-40),Bellevue,,-122.15472402915896,47.625684014589275,GA_Creative,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY Magazine,https://graymag.com/,G,Small (1-10),Seattle,Georgetown,,,Gray_Magazine,Gray_Magazine,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrigan Lyman Group,https://www.glg.com/,G,Large (41-100),Seattle,Downtown,-122.33604203100603,47.61164230123766,garriganlyman,garriganlyman,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gather,http://www.gatherseattle.com/,G,Small (1-10),Seattle,Pioneer Square,,,,gatherseattle,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GenUI,https://www.genui.co/,G,Large (41-100),Seattle,Fremont,-122.35179453100447,47.65072872102912,generalui,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gensler,https://www.gensler.com/offices/seattle,G,Large (41-100),Seattle,Downtown,-122.33193700032444,47.609261243024314,,genslerseattle,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getty Images,https://www.gettyimages.com/,G,Large (41-100),Seattle,The ID,-122.32877745582385,47.5970305074843,GettyImages,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girvin,https://www.girvin.com/,G,Small (1-10),Seattle,Belltown,-122.35154425605857,47.64102391040903,girvindesign,girvinbranding,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,https://design.google/,G,Huge (100+),Seattle,Fremont,-122.35036304449902,47.64916021607307,googledesign,googledesign,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain,http://www.graindesign.com/,G,Small (1-10),Seattle,Bainbridge,-122.54507940216828,47.67803917154685,grain_design,grain_design,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphiti Associates,https://graphiti.com/,G,Small (1-10),Seattle,Fremont,-122.34969831534087,47.651308512266795,Graphiti,graphiti_associates,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravity Creative,http://www.gravitycreative.com/,G,Small (1-10),Seattle,Belltown,-122.35132791566518,47.613679431142344,gravitycreative,gravitycreative_seattle,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grayscale Creative,http://grayscaledesignstudio.com/,G,Small (1-10),Seattle,Fremont,-122.34385990915864,47.6532681919203,,grayscaledesignstudio,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Rubino,https://www.greenrubino.com/,G,Medium (11-40),Seattle,Eastlake,-122.32829644780116,47.63725895154531,GreenRubino,GreenRubino,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTC,https://www.htc.com/us/,H,Large (41-100),Seattle,Pioneer Square,-122.33241490179827,47.600404652417524,HTCUSA,htc,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacker Agency,https://hal2l.com/,H,Large (41-100),Seattle,Downtown,-122.33395627110865,47.61008281503521,,hackeragency,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Crank Films,https://www.handcrankfilms.com/,H,Small (1-10),Seattle,Ballard,-122.38680563243992,47.668814367093084,,handcrankfilms,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hay & Co,https://www.hayandcodesign.com/,H,Small (1-10),Kenmore,,,,,hayandcodesign,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heckler Branding,https://www.hecklerbranding.com/,H,Small (1-10),Seattle,South Lake Union,,,hecklerbranding,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helpful Human,http://www.helpfulhuman.com/,H,Small (1-10),Seattle,Pioneer Square,,,helpfulhuman,helpfulhuman,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemlock Printers,https://www.hemlock.com/,H,Large (41-100),Seattle,Pioneer Square,-122.33549424782144,47.604240089366456,HemlockPrinters,HemlockPrinters,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Creative,https://www.herocreative.com/,H,Small (1-10),Seattle,Pioneer Square,-122.33462838645536,47.60238827207535,herocreativellc,herocreativemedia,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hey,",https://heyadvertising.com/,H,Medium (11-40),Seattle,Capitol Hill,-122.31732913247303,47.61497661280673,HeyAdvertising,heyadvertising,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of Sorcery,https://www.houseofsorcery.com/,H,Small (1-10),Seattle,Georgetown,-122.33225293075603,47.551485183231236,,houseofsorcery,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen,https://hydrogenadvertising.com/,H,Small (1-10),Seattle,Downtown,-122.33662528644952,47.611427710885614,hydrogen_tweets,hydrogen_advertising,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageCo,http://www.imageco.com/,I,Small (1-10),Seattle,Fremont,-122.35078995574084,47.652321340259334,imageco,imageco,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intentional Futures,https://intentionalfutures.com/,I,Medium (11-40),Seattle,Capitol Hill,-122.31247632231623,47.61525383637914,intentfutures,intentionalfutures,,,,,"\How do you get all the bullshit, unnecessary ideas and jargon out and get real clarity in terms of what you're saying and why, what you need to pay attention to, what you don't and why? That informs all of our work.\",,,,cardEpisode7,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invisible Creature,https://www.invisiblecreature.com/,I,Small (1-10),Maple Valley,,,,icreature,icreature,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JayRay,https://jayray.com/,J,Small (1-10),Tacoma,,-122.43861631734786,47.261107368894706,,jayrayadspr,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jozi Firecracker Factory,https://jozifirecrackerfactory.com/,J,Small (1-10),Seattle,South Lake Union,,,jozifirecracker,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karass Creative,https://karasscreative.com/,K,Small (1-10),Seattle,Pioneer Square,-122.33389093529495,47.60307826547433,karasscreative,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kite,https://kitebrandstudio.com/,K,Small (1-10),Seattle,,-122.32948611574056,47.61126686626876,KiteBrand,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehrman Cameron,http://lehrmancameron.com/,L,Small (1-10),Seattle,Greenwood,-122.35775723080215,47.68548522123129,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Hands of Stone,https://littlehandsofstone.com/,L,Small (1-10),Seattle,Fremont,-122.35721564039845,47.65318443998326,,lhos206,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
